dr8_id,strat_label,split
8000_101953_3947,0,train
8000_101954_4473,1,train
8000_101955_1842,0,train
8000_101955_3187,0,train
8000_101956_1137,0,train
8000_101958_1824,0,test
8000_101958_2332,0,train
8000_101960_1594,0,train
8000_101963_109,0,test
8000_101964_2678,0,train
8000_101966_1942,0,test
8000_101966_3155,0,train
8000_101970_4055,0,val
8000_101970_4493,0,train
8000_101971_1342,0,train
8000_101971_852,0,test
8000_101983_2914,1,train
8000_101986_2949,0,train
8000_101994_1192,0,val
8000_101997_862,1,train
8000_101998_35,1,train
8000_102002_3175,1,train
8000_102017_2573,1,train
8000_102024_1406,0,val
8000_102024_375,0,train
8000_102024_3775,0,train
8000_102025_1630,0,train
8000_102026_1585,0,train
8000_102026_3083,0,train
8000_102027_2103,0,train
8000_102028_4103,0,train
8000_102029_2446,0,val
8000_102031_1711,0,train
8000_102037_4083,0,train
8000_102037_486,0,train
8000_102040_1620,0,val
8000_102040_1990,0,train
8000_102042_482,1,train
8000_102044_2613,0,train
8000_102045_2415,0,train
8000_102047_785,0,train
8000_102048_1742,0,train
8000_102048_1924,0,train
8000_102051_1042,0,train
8000_102053_57,0,train
8000_102058_1095,0,val
8000_102059_970,0,train
8000_102065_4140,0,train
8000_102065_464,1,train
8000_102069_1186,0,train
8000_102074_2782,1,train
8000_102077_3349,0,test
8000_102080_1877,0,train
8000_102083_2067,0,train
8000_102083_2247,0,train
8000_102085_1759,0,test
8000_102085_374,0,train
8000_102087_1734,0,train
8000_102089_1004,0,train
8000_102093_2694,1,val
8000_102099_888,0,train
8000_102107_2888,0,train
8000_102115_1038,1,test
8000_102118_3502,0,train
8000_102123_3597,0,train
8000_102124_1933,0,train
8000_102124_2234,1,train
8000_102126_223,0,train
8000_102127_1085,0,train
8000_102127_748,1,train
8000_102128_346,0,train
8000_102138_2879,0,test
8000_102138_3313,0,train
8000_102146_3634,0,train
8000_102148_3622,0,train
8000_102148_605,0,train
8000_102157_5190,0,train
8000_102159_356,0,train
8000_102172_2839,1,train
8000_102173_1109,1,val
8000_102173_157,0,train
8000_102174_3157,0,train
8000_102177_3864,1,train
8000_102179_394,0,train
8000_102185_1548,1,train
8000_102185_451,0,train
8000_102186_1310,0,train
8000_102186_1665,0,train
8000_102194_3083,0,val
8000_102196_1122,0,test
8000_102197_3906,0,train
8000_102199_1229,0,val
8000_102203_82,0,train
8000_102209_3956,0,train
8000_102210_3840,0,train
8000_102213_4964,1,train
8000_102216_4655,0,train
8000_102217_4216,1,train
8000_102224_562,0,train
8000_102227_3891,0,test
8000_102231_1418,0,train
8000_102233_2638,0,train
8000_102233_3562,1,train
8000_102237_3310,0,train
8000_102241_4035,0,train
8000_102250_2856,0,train
8000_102256_3006,0,val
8000_102256_460,1,train
8000_102256_7270,1,val
8000_102259_542,0,val
8000_102260_3367,0,val
8000_102872_2760,0,train
8000_102873_2098,1,test
8000_102875_2464,0,train
8000_102877_1554,1,train
8000_102880_1625,0,val
8000_102881_5674,1,train
8000_102888_5695,0,train
8000_102897_6189,1,train
8000_102898_6681,1,train
8000_102901_6460,0,test
8000_102904_4876,1,train
8000_102905_5198,1,train
8000_102916_3397,0,train
8000_102918_3305,0,val
8000_102919_2570,1,train
8000_102921_3407,0,train
8000_102924_1400,0,test
8000_102924_306,0,train
8000_102924_6203,0,train
8000_102924_6875,0,val
8000_102927_2129,0,val
8000_102927_2228,0,train
8000_102927_5359,0,train
8000_102929_1856,0,train
8000_102929_2563,0,train
8000_102929_3225,1,train
8000_102930_5916,0,train
8000_102932_4785,0,train
8000_102933_6005,0,train
8000_102934_3855,0,train
8000_102937_3010,0,train
8000_102941_18,0,train
8000_102941_2107,0,train
8000_102957_3221,1,train
8000_102958_3830,0,train
8000_102961_5237,0,train
8000_102962_1884,0,val
8000_102962_44,0,val
8000_102966_5686,0,test
8000_102967_1214,1,train
8000_102969_3362,0,val
8000_102971_3474,0,train
8000_102972_3979,0,val
8000_102974_3207,0,train
8000_102976_43,0,val
8000_102976_576,0,train
8000_102977_2614,0,val
8000_102980_2302,0,test
8000_102981_2823,0,test
8000_102983_2308,0,train
8000_102985_2036,0,train
8000_102985_3655,0,test
8000_102985_774,0,train
8000_102986_3982,0,train
8000_102987_2509,0,test
8000_102987_3918,0,val
8000_102991_1755,0,val
8000_102991_2434,0,train
8000_102995_4845,1,train
8000_102996_5433,0,train
8000_102997_2825,0,val
8000_103002_1717,0,train
8000_103006_2196,0,train
8000_103011_4208,0,train
8000_103013_2205,1,train
8000_103015_2422,0,test
8000_103015_3968,0,train
8000_103016_5902,0,train
8000_103018_3377,1,train
8000_103022_3927,0,val
8000_103023_2195,1,train
8000_103025_2321,0,train
8000_103027_1621,0,train
8000_103030_1582,0,test
8000_103030_3346,0,train
8000_103034_2485,0,train
8000_103035_1069,0,val
8000_103035_94,0,val
8000_103037_1952,0,train
8000_103038_4000,0,train
8000_103040_3538,0,train
8000_103041_1006,0,test
8000_103041_671,1,train
8000_103042_3542,0,train
8000_103044_2926,1,train
8000_103045_3384,0,train
8000_103045_784,0,val
8000_103047_916,0,val
8000_103053_377,0,train
8000_103058_1221,0,train
8000_103059_2613,0,train
8000_103068_277,0,val
8000_103070_1122,0,train
8000_103070_983,0,train
8000_103071_1621,0,train
8000_103072_2736,0,train
8000_103076_2149,0,val
8000_103076_3937,0,train
8000_103080_0,0,val
8000_103082_1357,0,train
8000_103084_2139,0,train
8000_103086_1283,0,train
8000_103089_2312,0,train
8000_103090_234,0,train
8000_103091_1898,0,train
8000_103096_637,0,test
8000_103097_57,0,train
8000_103105_1866,0,val
8000_103107_1170,0,train
8000_103120_513,0,val
8000_103122_2844,0,train
8000_103122_507,0,train
8000_103126_346,0,train
8000_103128_1995,0,test
8000_103134_2015,0,test
8000_103137_1969,1,train
8000_103138_1764,0,train
8000_103146_3327,0,val
8000_103147_2775,0,train
8000_103148_1232,0,train
8000_103149_1571,0,train
8000_103152_3296,0,train
8000_103157_1314,0,test
8000_103157_4358,0,train
8000_103161_571,0,train
8000_103162_1896,0,val
8000_103167_1448,0,train
8000_103170_2017,0,train
8000_103171_3111,0,train
8000_103172_1867,0,val
8000_103172_360,1,val
8000_103175_3096,0,val
8000_103191_4037,0,train
8000_103195_1660,0,test
8000_103197_4479,0,train
8000_103203_3928,1,test
8000_103204_5770,0,train
8000_103205_3886,0,test
8000_103205_5727,0,test
8000_103207_2098,0,val
8000_103210_1220,0,val
8000_103210_3095,0,train
8000_103211_1239,1,test
8000_103216_985,0,train
8000_103224_1532,0,train
8000_103231_5,0,train
8000_103232_2472,1,test
8000_103234_1717,1,train
8000_103234_4751,0,train
8000_103235_1102,0,train
8000_103239_4488,1,val
8000_103239_4779,0,train
8000_103242_2286,0,train
8000_103244_1981,0,train
8000_103244_5110,0,train
8000_103251_3762,0,train
8000_103251_3865,0,train
8000_103257_5484,0,test
8000_103264_1662,0,train
8000_103270_20,0,train
8000_103270_2090,0,val
8000_103272_1194,0,train
8000_103272_2332,0,train
8000_103273_4254,0,train
8000_103276_195,0,train
8000_103276_2897,1,val
8000_103278_1514,1,train
8000_103280_1351,0,train
8000_103280_3588,0,train
8000_103281_1265,0,train
8000_103281_1734,0,train
8000_103283_5374,0,train
8000_103286_3262,0,train
8000_103291_3949,0,train
8000_103292_2838,0,val
8000_103294_1945,0,train
8000_103295_1166,0,train
8000_103295_1283,1,test
8000_103300_2591,1,train
8000_103301_311,0,val
8000_103303_5178,0,train
8000_103304_1864,0,train
8000_103305_506,0,train
8000_103919_681,1,train
8000_103923_4536,0,train
8000_103926_844,0,train
8000_103927_3728,1,train
8000_103931_1247,0,train
8000_103937_3267,0,val
8000_103942_2691,1,train
8000_103942_595,1,test
8000_103942_844,0,train
8000_103943_700,1,test
8000_103949_2713,1,train
8000_103949_5812,1,train
8000_103950_1147,0,train
8000_103950_1639,0,train
8000_103950_4988,0,val
8000_103951_2827,1,train
8000_103951_6190,0,train
8000_103952_658,0,train
8000_103953_1879,0,train
8000_103953_5920,1,val
8000_103959_3543,0,train
8000_103965_2691,0,train
8000_103965_5300,0,train
8000_103965_5773,1,train
8000_103967_2892,1,train
8000_103968_6003,0,train
8000_103973_4847,0,train
8000_103976_1560,1,test
8000_103976_437,0,test
8000_103980_4096,0,train
8000_103980_5059,0,test
8000_103981_2292,0,train
8000_103981_5576,0,val
8000_103982_6591,0,train
8000_103985_2582,0,test
8000_103993_5158,0,train
8000_103995_2508,0,train
8000_103995_4788,0,test
8000_103996_408,0,train
8000_104003_3098,1,train
8000_104003_6529,1,test
8000_104004_115,0,train
8000_104004_2196,0,train
8000_104010_6473,0,val
8000_104013_1991,0,val
8000_104013_4345,0,train
8000_104014_4526,0,train
8000_104015_6392,1,train
8000_104019_4073,0,train
8000_104019_4617,0,train
8000_104020_4699,0,train
8000_104023_414,0,train
8000_104024_1092,0,train
8000_104024_4000,0,test
8000_104025_3988,0,val
8000_104030_3629,0,test
8000_104031_1265,0,train
8000_104031_3559,0,train
8000_104032_3205,0,val
8000_104033_5097,0,train
8000_104034_3335,0,test
8000_104034_878,0,test
8000_104038_3750,0,train
8000_104040_4809,1,train
8000_104044_3301,0,train
8000_104045_2718,0,train
8000_104048_0,0,train
8000_104052_2973,0,train
8000_104055_2305,0,train
8000_104055_2924,0,train
8000_104056_1492,1,train
8000_104056_214,0,train
8000_104056_888,0,train
8000_104057_4123,0,val
8000_104063_3122,1,test
8000_104066_2934,0,train
8000_104072_3344,0,train
8000_104075_2647,0,train
8000_104075_589,0,train
8000_104075_761,0,test
8000_104076_388,1,train
8000_104079_3338,0,train
8000_104081_3220,0,train
8000_104086_3707,0,train
8000_104086_4258,0,train
8000_104087_2602,0,train
8000_104089_3318,0,train
8000_104092_4102,0,train
8000_104101_1356,0,val
8000_104102_485,0,train
8000_104103_2660,0,train
8000_104104_2004,0,train
8000_104124_4320,0,train
8000_104126_2594,0,train
8000_104128_1995,0,train
8000_104128_864,0,train
8000_104129_290,0,test
8000_104129_580,0,train
8000_104140_2299,0,train
8000_104149_1472,1,train
8000_104151_1304,0,train
8000_104152_168,0,val
8000_104153_1338,0,train
8000_104158_3043,0,train
8000_104161_1423,0,train
8000_104162_5164,0,train
8000_104163_2015,0,train
8000_104168_1059,0,test
8000_104168_2586,0,val
8000_104168_3934,0,test
8000_104168_759,0,train
8000_104169_1189,0,train
8000_104169_2655,0,train
8000_104169_3506,0,train
8000_104170_968,0,train
8000_104171_865,1,train
8000_104178_2397,0,test
8000_104179_3707,0,train
8000_104182_1649,0,train
8000_104183_941,0,train
8000_104187_1110,0,val
8000_104198_2154,0,train
8000_104198_604,0,train
8000_104199_914,0,train
8000_104202_1254,0,train
8000_104203_2329,0,train
8000_104204_571,0,train
8000_104206_1211,0,train
8000_104208_90,0,train
8000_104214_3200,0,train
8000_104219_1694,0,val
8000_104220_1778,1,val
8000_104222_3062,0,val
8000_104225_3242,0,test
8000_104230_3502,0,train
8000_104232_5004,0,train
8000_104235_3398,0,train
8000_104236_1382,0,val
8000_104242_84,0,train
8000_104246_2902,0,train
8000_104246_5243,1,train
8000_104251_2712,0,train
8000_104251_508,0,train
8000_104253_3715,0,train
8000_104254_2008,1,train
8000_104259_1350,0,val
8000_104274_4203,1,test
8000_104275_4049,0,train
8000_104278_4991,0,train
8000_104280_974,0,train
8000_104281_2257,0,test
8000_104283_2850,1,train
8000_104284_543,0,val
8000_104285_5508,0,val
8000_104286_4206,0,val
8000_104292_1421,0,val
8000_104292_2324,0,train
8000_104293_2844,0,val
8000_104296_237,0,train
8000_104298_5891,1,train
8000_104300_5635,0,train
8000_104301_1841,0,train
8000_104302_4597,0,test
8000_104303_3009,0,train
8000_104304_4418,0,test
8000_104306_914,0,train
8000_104312_1661,0,train
8000_104315_1809,0,val
8000_104315_2485,0,train
8000_104322_2073,0,train
8000_104325_4509,0,test
8000_104332_5311,0,train
8000_104333_2455,0,test
8000_104335_4497,0,train
8000_104336_2186,0,val
8000_104337_480,0,val
8000_104337_5276,0,train
8000_104338_3415,0,train
8000_104340_2041,1,train
8000_104342_644,0,train
8000_104343_4122,0,val
8000_104344_4092,0,test
8000_104345_3565,0,test
8000_104345_3631,1,train
8000_104349_3740,0,train
8000_104352_2387,0,train
8000_104352_2713,0,test
8000_104966_2794,0,test
8000_104966_580,0,train
8000_104969_1869,0,train
8000_104970_1356,0,test
8000_104977_162,0,train
8000_104982_4564,0,train
8000_104989_6284,0,test
8000_104992_4377,0,train
8000_104995_723,0,test
8000_104996_3261,0,train
8000_104998_1633,0,train
8000_105000_1829,0,train
8000_105000_4273,0,val
8000_105000_842,0,test
8000_105005_6305,0,train
8000_105013_4417,0,train
8000_105013_6468,1,train
8000_105015_5152,0,train
8000_105017_6211,0,test
8000_105022_1049,0,train
8000_105026_7688,0,train
8000_105029_1326,0,train
8000_105030_6737,0,train
8000_105034_1488,1,test
8000_105034_1709,1,val
8000_105037_125,1,train
8000_105038_825,0,test
8000_105039_5078,1,test
8000_105042_2786,1,train
8000_105049_6620,0,train
8000_105052_1567,1,train
8000_105053_4648,0,train
8000_105053_5148,0,train
8000_105056_6987,0,val
8000_105057_1889,0,train
8000_105057_2952,1,train
8000_105063_5157,1,val
8000_105066_2185,0,train
8000_105066_6789,1,val
8000_105075_1921,0,train
8000_105075_2600,0,train
8000_105075_3853,1,val
8000_105075_543,0,train
8000_105080_588,0,train
8000_105081_1440,0,train
8000_105082_1285,0,train
8000_105084_4962,0,train
8000_105086_1238,0,test
8000_105088_833,0,train
8000_105091_1305,0,train
8000_105091_3010,0,train
8000_105096_1057,0,train
8000_105096_477,1,test
8000_105100_3512,0,train
8000_105101_4538,0,train
8000_105103_1637,1,val
8000_105104_3846,0,train
8000_105104_3878,1,test
8000_105104_534,0,train
8000_105108_5208,0,train
8000_105112_2738,1,val
8000_105114_25,0,test
8000_105115_4488,0,train
8000_105117_1196,0,train
8000_105121_305,0,train
8000_105121_4998,0,test
8000_105121_935,0,train
8000_105125_3681,0,train
8000_105128_812,0,train
8000_105132_3031,0,val
8000_105132_3680,0,val
8000_105133_3568,0,val
8000_105136_4954,0,train
8000_105138_4184,0,train
8000_105139_2963,0,test
8000_105140_2767,0,train
8000_105143_4242,0,train
8000_105145_1472,0,train
8000_105152_1869,0,val
8000_105153_1091,0,val
8000_105153_1701,0,train
8000_105155_1440,1,test
8000_105160_324,1,val
8000_105160_741,0,val
8000_105164_3986,1,train
8000_105169_1879,0,train
8000_105170_1638,0,train
8000_105173_3140,0,train
8000_105175_694,1,train
8000_105182_659,0,val
8000_105184_2496,1,train
8000_105192_1847,0,train
8000_105193_1763,0,train
8000_105193_282,1,val
8000_105200_1664,0,test
8000_105202_2032,0,train
8000_105208_642,0,val
8000_105210_2770,0,train
8000_105211_1431,1,train
8000_105215_2242,0,train
8000_105216_4462,0,train
8000_105217_1769,0,train
8000_105220_4816,0,test
8000_105223_1751,0,test
8000_105223_543,0,train
8000_105225_2866,0,train
8000_105227_299,0,train
8000_105229_3170,1,train
8000_105230_3373,0,train
8000_105231_1258,0,test
8000_105231_2676,0,train
8000_105238_181,0,train
8000_105241_1952,0,val
8000_105250_2684,0,train
8000_105250_381,0,train
8000_105251_32,0,test
8000_105253_3321,0,test
8000_105257_558,0,train
8000_105260_1497,0,train
8000_105263_593,0,train
8000_105267_2354,0,train
8000_105268_4426,0,train
8000_105270_164,0,val
8000_105275_3191,0,test
8000_105279_1851,1,train
8000_105286_3161,0,train
8000_105295_2637,0,train
8000_105298_571,0,train
8000_105299_4153,0,train
8000_105303_1177,0,train
8000_105316_2646,0,val
8000_105320_2245,0,train
8000_105321_4598,0,val
8000_105325_3366,1,train
8000_105325_4842,0,train
8000_105330_1561,1,train
8000_105331_3865,0,train
8000_105333_3940,0,train
8000_105335_3953,0,test
8000_105337_2253,0,train
8000_105339_693,0,train
8000_105340_3567,0,train
8000_105340_5174,1,train
8000_105342_4885,0,train
8000_105342_803,0,train
8000_105343_801,1,val
8000_105349_2069,0,train
8000_105349_2971,0,train
8000_105351_3109,0,test
8000_105353_1841,0,train
8000_105353_2880,0,val
8000_105354_4126,0,test
8000_105357_3688,0,train
8000_105359_3978,1,val
8000_105369_688,0,train
8000_105371_814,0,train
8000_105373_1421,1,val
8000_105375_3489,1,train
8000_105376_1024,0,val
8000_105378_399,0,train
8000_105379_339,1,train
8000_105380_3203,1,train
8000_105382_174,0,train
8000_105382_240,0,train
8000_105383_1887,1,val
8000_105396_1684,0,train
8000_105398_5920,0,train
8000_105403_1290,0,train
8000_105404_3086,1,train
8000_105405_393,0,val
8000_105405_4394,0,train
8000_106023_1034,0,val
8000_106029_3147,0,train
8000_106031_3564,0,val
8000_106032_2720,0,train
8000_106033_1474,0,val
8000_106033_1569,0,train
8000_106036_4346,0,train
8000_106039_3739,0,train
8000_106040_1751,1,val
8000_106041_2947,0,train
8000_106043_3105,0,train
8000_106045_4978,1,test
8000_106054_1293,0,train
8000_106056_6753,0,val
8000_106057_3122,0,train
8000_106061_1384,0,train
8000_106064_455,0,train
8000_106066_3270,0,train
8000_106072_5602,0,test
8000_106072_6021,1,train
8000_106073_856,0,val
8000_106078_4532,0,val
8000_106078_5668,0,test
8000_106081_7111,0,test
8000_106085_2,1,train
8000_106086_4793,0,train
8000_106098_41,0,train
8000_106099_3972,0,train
8000_106106_577,0,train
8000_106109_2473,0,test
8000_106109_2474,0,train
8000_106109_845,0,train
8000_106111_5353,0,train
8000_106113_2668,1,train
8000_106113_3683,1,val
8000_106115_3257,0,test
8000_106115_5251,1,test
8000_106117_986,1,train
8000_106124_5207,0,train
8000_106129_2811,0,train
8000_106131_1085,0,train
8000_106139_5020,1,train
8000_106142_2288,0,train
8000_106142_3503,0,train
8000_106147_2379,0,test
8000_106147_3586,0,train
8000_106158_3024,0,val
8000_106158_473,0,val
8000_106160_3870,1,train
8000_106165_3565,0,train
8000_106166_693,0,train
8000_106171_4089,0,train
8000_106172_4282,0,train
8000_106174_4789,0,train
8000_106175_1377,1,train
8000_106175_2703,0,test
8000_106180_660,0,test
8000_106192_4238,0,train
8000_106193_2676,0,test
8000_106193_702,0,test
8000_106201_1360,0,val
8000_106205_1403,0,test
8000_106208_269,1,val
8000_106211_2370,0,test
8000_106212_2349,0,test
8000_106212_2554,0,train
8000_106215_19,0,train
8000_106218_2151,0,train
8000_106225_102,0,train
8000_106228_388,0,test
8000_106231_1865,0,train
8000_106235_2826,1,train
8000_106247_397,1,train
8000_106249_3149,0,train
8000_106250_2923,0,train
8000_106260_2323,0,train
8000_106261_3342,0,train
8000_106263_343,0,train
8000_106265_1339,0,train
8000_106272_1704,0,test
8000_106273_1194,0,train
8000_106273_3909,0,train
8000_106275_677,0,train
8000_106276_1194,0,train
8000_106276_473,0,train
8000_106277_617,0,test
8000_106278_69,1,test
8000_106280_482,0,val
8000_106284_1922,0,train
8000_106286_1019,1,train
8000_106292_614,0,train
8000_106296_1346,0,train
8000_106297_3122,0,train
8000_106297_3146,0,train
8000_106298_2496,0,train
8000_106301_183,0,test
8000_106301_866,0,train
8000_106312_128,0,train
