index,label,split
1060,7,val
1061,3,train
1062,8,train
1063,5,test
1064,7,test
1065,3,train
1066,0,test
1067,7,val
1068,8,train
1069,1,val
1070,5,val
1071,7,train
1072,2,train
1073,6,test
1074,8,train
1075,5,val
1076,3,val
1077,0,val
1078,6,test
1079,5,test
1080,2,train
1081,7,train
1082,7,test
1083,5,train
1084,9,train
1085,2,test
1086,7,train
1087,4,train
1088,8,train
1089,6,train
1090,9,train
1091,1,train
1092,3,test
1093,7,train
1094,7,test
1095,9,test
1096,6,train
1097,3,train
1098,8,train
1099,2,train
1100,6,test
1101,1,train
1102,1,train
1103,7,test
1104,7,train
1105,7,train
1106,2,train
1107,3,train
1108,2,train
1109,7,train
1110,2,train
1111,1,train
1112,1,train
1113,7,train
1114,5,train
1115,0,train
1116,3,train
1117,5,train
1118,4,test
1119,0,train
1120,2,train
1121,9,test
1122,6,test
1123,6,train
1124,7,test
1125,2,train
1126,2,val
1127,7,val
1128,5,train
1129,0,test
1130,9,train
1131,6,val
1132,9,train
1133,3,train
1134,5,train
1135,0,train
1136,5,train
1137,4,val
1138,3,train
1139,2,train
1140,3,train
1141,7,train
1142,2,train
1143,7,train
1144,7,val
1145,5,test
1146,6,train
1147,8,train
1148,2,train
1149,8,val
1150,0,test
1151,9,train
1152,6,val
1153,5,train
1154,6,train
1155,1,train
1156,5,train
1157,5,train
1158,9,train
1159,8,train
1160,9,train
1161,0,train
1162,7,train
1163,2,val
1164,2,test
1165,5,train
1166,9,train
1167,8,train
1168,7,test
1169,9,val
1170,5,train
1171,8,train
1172,5,train
1173,2,train
1174,2,train
1175,6,train
1176,3,test
1177,3,train
1178,2,train
1179,7,train
1180,8,train
1181,3,test
1182,5,train
1183,2,train
1184,6,train
1185,7,train
1186,0,val
1187,1,test
1188,2,train
1189,9,train
1190,2,train
1191,3,train
1192,2,val
1193,2,train
1194,1,train
1195,5,train
1196,1,train
1197,1,train
1198,2,train
1199,6,train
1200,5,train
1201,6,test
1202,2,train
1203,3,train
1204,3,train
1205,7,val
1206,8,test
1207,2,val
1208,2,train
1209,3,train
1210,7,train
1211,3,train
1212,2,train
1213,1,train
1214,8,train
1215,0,val
1216,8,val
1217,7,train
1218,8,train
1219,5,train
1220,3,val
1221,1,train
1222,7,train
1223,5,train
1224,7,test
1225,5,val
1226,5,test
1227,8,train
1228,5,train
1229,5,train
1230,2,train
1231,5,train
1232,7,train
1233,2,train
1234,1,train
1235,5,train
1236,5,train
1237,5,train
1238,5,test
1239,2,train
1240,6,test
1241,2,train
1242,7,val
1243,9,val
1244,2,val
1245,9,test
1246,6,train
1247,2,train
1248,7,train
1249,0,train
1250,6,train
1251,2,val
1252,7,val
1253,2,val
1254,2,val
1255,9,train
1256,8,train
1257,3,train
1258,2,train
1259,5,test
1260,7,val
1261,5,train
1262,7,train
1263,6,train
1264,1,train
1265,7,train
1266,3,test
1267,3,train
1268,3,train
1269,7,test
1270,3,train
1271,8,train
1272,0,val
1273,1,val
1274,6,val
1275,2,test
1276,1,train
1277,7,train
1278,7,train
1279,8,train
1280,3,train
1281,9,train
1282,2,train
1283,9,train
1284,1,val
1285,7,train
1286,6,train
1287,1,train
1288,0,test
1289,2,val
1290,0,train
1291,2,train
1292,3,train
1293,2,train
1294,7,train
1295,0,train
1296,5,train
1297,7,val
1298,3,train
1299,9,train
1300,1,train
1301,1,train
1302,1,train
1303,3,test
1304,1,val
1305,7,train
1306,2,train
1307,1,val
1308,2,train
1309,5,train
1310,6,val
1311,4,val
1312,7,train
1313,2,test
1314,6,train
1315,2,train
1316,8,train
1317,3,train
1318,0,train
1319,9,train
1320,9,test
1321,8,train
1322,1,train
1323,9,train
1324,6,train
1325,7,train
1326,6,test
1327,2,test
1328,5,train
1329,8,train
1330,6,train
1331,0,val
1332,9,test
1333,0,train
1334,8,train
1335,9,val
1336,0,train
1337,7,train
1338,3,train
1339,7,train
1340,5,test
1341,6,train
1342,1,train
1343,2,train
1344,1,train
1345,2,train
1346,8,train
1347,2,train
1348,3,train
1349,8,test
1350,3,train
1351,6,train
1352,7,train
1353,2,test
1354,7,val
1355,9,test
1356,2,val
1357,1,val
1358,1,train
1359,9,train
1360,9,train
1361,0,val
1362,1,train
1363,9,test
1364,0,train
1365,7,train
1366,3,test
1367,9,train
1368,8,train
1369,8,train
1370,3,train
1371,7,test
1372,5,val
1373,3,val
1374,7,train
1375,8,train
1376,6,train
1377,6,train
1378,7,train
1379,7,test
1380,0,train
1381,1,val
1382,7,train
1383,3,test
1384,8,train
1385,3,val
1386,7,test
1387,1,train
1388,8,train
1389,1,train
1390,2,train
1391,1,test
1392,3,train
1393,9,val
1394,8,train
1395,8,train
1396,6,val
1397,3,train
1398,7,train
1399,3,train
1400,1,train
1401,2,test
1402,2,train
1403,1,test
1404,2,train
1405,6,train
1406,1,train
1407,5,train
1408,7,train
1409,2,train
1410,6,val
1411,7,train
1412,7,train
1413,1,train
1414,1,train
1415,7,val
1416,2,train
1417,2,train
1418,3,train
1419,9,train
1420,4,train
1421,2,train
1422,0,train
1423,8,train
1424,7,train
1425,9,val
1426,1,train
1427,2,train
1428,5,train
1429,2,test
1430,5,train
1431,3,train
1432,7,train
1433,1,train
1434,7,val
1435,6,val
1436,1,train
1437,2,train
1438,4,train
1439,0,train
1440,5,train
1441,0,train
1442,1,train
1443,6,train
1444,9,train
1445,7,val
1446,9,train
1447,9,train
1448,8,val
1449,6,train
1450,5,val
1451,6,train
1452,8,train
1453,0,train
1454,5,test
1455,9,train
1456,5,test
1457,8,train
1458,1,val
1459,2,train
1460,0,val
1461,5,val
1462,8,train
1463,6,train
1464,3,val
1465,2,train
1466,5,train
1467,2,train
1468,2,train
1469,9,train
1470,6,train
1471,5,val
1472,3,train
1473,2,train
1474,0,test
1475,3,val
1476,7,train
1477,7,train
1478,9,train
1479,1,test
1480,3,train
1481,0,train
1482,9,train
1483,8,test
1484,1,train
1485,7,train
1486,2,train
1487,7,train
1488,8,train
1489,9,test
1490,9,train
1491,8,train
1492,2,train
1493,1,test
1494,2,train
1495,2,train
1496,1,val
1497,7,val
1498,3,train
1499,7,val
1500,3,train
1501,3,train
1502,3,test
1503,0,train
1504,2,train
1505,8,train
1506,2,val
1507,5,train
1508,5,train
1509,9,val
1510,6,test
1511,2,train
1512,7,train
1513,9,val
1514,7,train
1515,7,train
1516,7,train
1517,7,train
1518,2,val
1519,9,train
1520,0,train
1521,8,train
1522,0,train
1523,2,train
1524,8,val
1525,1,train
1526,3,train
1527,1,train
1528,7,test
1529,5,train
1530,7,test
1531,9,val
1532,2,train
1533,6,train
1534,3,train
1535,9,train
1536,0,test
1537,9,train
1538,7,train
1539,2,train
1540,5,test
1541,2,train
1542,6,train
1543,2,train
1544,6,train
1545,0,train
1546,5,train
1547,8,train
1548,2,train
1549,1,train
1550,5,train
1551,6,train
1552,9,train
1553,7,train
1554,8,train
1555,7,train
1556,2,test
1557,4,train
1558,6,train
1559,2,train
1560,1,train
1561,9,train
1562,2,train
1563,6,train
1564,2,train
1565,8,train
1566,0,val
1567,0,val
1568,9,train
1569,5,train
1570,5,val
1571,9,train
1572,2,train
1573,1,train
1574,5,train
1575,2,train
1576,5,train
1577,5,train
1578,2,train
1579,3,test
1580,3,train
1581,7,train
1582,5,val
1583,3,train
1584,7,train
1585,1,train
1586,8,train
1587,8,train
1588,2,train
1589,6,train
1590,1,test
1591,7,train
1592,9,train
1593,0,train
1594,1,train
1595,7,train
1596,4,train
1597,6,test
1598,6,val
1599,2,train
1600,8,train
1601,0,train
1602,8,train
1603,9,test
1604,8,test
1605,5,train
1606,2,train
1607,2,test
1608,5,train
1609,2,val
1610,1,train
1611,0,val
1612,3,val
1613,7,train
1614,9,train
1615,8,val
1616,7,val
1617,8,train
1618,7,train
1619,2,train
1620,2,train
1621,5,val
1622,7,train
1623,1,test
1624,1,val
1625,8,train
1626,5,train
1627,2,train
1628,7,train
1629,8,train
1630,5,train
1631,1,train
1632,0,val
1633,7,train
1634,9,train
1635,5,train
1636,2,train
1637,0,train
1638,1,train
1639,9,train
1640,8,train
1641,0,train
1642,8,train
1643,2,train
1644,3,test
1645,1,train
1646,3,train
1647,8,train
1648,6,train
1649,1,train
1650,5,test
1651,7,test
1652,6,train
1653,0,train
1654,2,train
1655,3,test
1656,5,train
1657,9,train
1658,3,train
1659,5,train
1660,7,train
1661,6,train
1662,7,test
1663,7,train
1664,2,val
1665,3,train
1666,7,train
1667,2,train
1668,7,train
1669,7,train
1670,7,val
1671,8,train
1672,9,train
1673,0,train
1674,2,train
1675,2,test
1676,6,test
1677,9,train
1678,9,train
1679,5,train
1680,8,train
1681,9,test
1682,2,val
1683,5,train
1684,8,train
1685,9,train
1686,2,val
1687,7,train
1688,0,train
1689,7,train
1690,5,train
1691,8,train
1692,3,train
1693,5,train
1694,6,train
1695,1,train
1696,1,train
1697,6,test
1698,3,test
1699,8,train
1700,3,train
1701,8,train
1702,7,train
1703,3,train
1704,9,val
1705,5,train
1706,2,val
1707,1,train
1708,9,train
1709,7,train
1710,6,train
1711,7,train
1712,3,train
1713,3,train
1714,8,test
1715,1,train
1716,5,train
1717,7,train
1718,3,val
1719,1,val
1720,6,val
1721,9,train
1722,5,val
1723,7,train
1724,2,val
1725,5,train
1726,4,train
1727,7,train
1728,0,train
1729,9,train
1730,2,train
1731,2,train
1732,7,val
1733,4,val
1734,7,train
1735,7,train
1736,2,test
1737,8,test
1738,1,train
1739,5,train
1740,1,train
1741,5,train
1742,1,train
1743,8,val
1744,5,train
1745,6,train
1746,6,train
1747,1,train
1748,5,train
1749,3,train
1750,1,train
1751,0,train
1752,7,val
1753,6,train
1754,7,train
1755,1,train
1756,7,train
1757,1,train
1758,2,train
1759,9,train
1760,1,train
1761,1,train
1762,3,val
1763,0,val
1764,2,train
1765,5,train
1766,5,train
1767,7,train
1768,7,train
1769,8,train
1770,1,test
1771,8,train
1772,9,train
1773,8,val
1774,7,train
1775,6,train
1776,3,train
1777,2,train
1778,7,train
1779,1,test
1780,7,val
1781,6,train
1782,3,train
1783,1,val
1784,0,train
1785,1,val
1786,8,train
1787,2,train
1788,6,train
1789,5,train
1790,9,train
1791,9,val
1792,9,val
1793,0,train
1794,3,train
1795,5,train
1796,2,train
1797,1,train
1798,6,train
1799,3,train
1800,8,val
1801,2,train
1802,2,train
1803,3,val
1804,5,train
1805,7,train
1806,7,test
1807,7,train
1808,6,test
1809,3,train
1810,2,train
1811,0,val
1812,9,train
1813,5,train
1814,3,val
1815,3,test
1816,5,train
1817,6,test
1818,0,test
1819,9,train
1820,7,train
1821,7,train
1822,6,train
1823,0,train
1824,7,train
1825,2,test
1826,3,test
1827,2,train
1828,2,train
1829,1,train
1830,8,train
1831,2,test
1832,9,train
1833,0,val
1834,9,train
1835,2,train
1836,0,train
1837,8,train
1838,7,train
1839,3,train
1840,9,val
1841,1,test
1842,2,train
1843,3,train
1844,5,train
1845,9,train
1846,8,test
1847,5,test
1848,3,val
1849,2,train
1850,8,train
1851,8,train
1852,7,train
1853,5,train
1854,7,val
1855,0,train
1856,6,test
1857,5,train
1858,7,train
1859,7,val
1860,2,train
1861,0,test
1862,2,train
1863,5,train
1864,0,train
1865,7,train
1866,9,test
1867,3,val
1868,8,train
1869,5,test
1870,7,val
1871,0,train
1872,1,train
1873,9,val
1874,6,train
1875,9,train
1876,9,val
1877,7,train
1878,5,train
1879,3,train
1880,1,train
1881,1,train
1882,7,train
1883,2,train
1884,1,val
1885,3,val
1886,3,train
1887,7,train
1888,7,train
1889,7,train
1890,2,train
1891,2,train
1892,5,test
1893,7,train
1894,3,train
1895,8,train
1896,3,train
1897,9,train
1898,7,val
1899,2,train
1900,1,train
1901,6,train
1902,6,train
1903,6,train
1904,1,train
1905,7,train
1906,4,val
1907,8,val
1908,7,train
1909,7,train
1910,7,train
1911,2,train
1912,7,train
1913,1,val
1914,6,train
1915,2,val
1916,4,train
1917,7,train
1918,6,train
1919,7,val
1920,2,train
1921,9,train
1922,2,train
1923,5,val
1924,9,test
1925,9,train
1926,5,train
1927,7,train
1928,7,train
1929,0,train
1930,5,test
1931,3,train
1932,8,train
1933,8,val
1934,1,test
1935,2,train
1936,9,train
1937,7,train
1938,7,test
1939,3,train
1940,9,train
1941,1,val
1942,8,train
1943,8,train
1944,9,train
1945,2,train
1946,3,test
1947,0,train
1948,2,test
1949,2,train
1950,2,train
1951,2,test
1952,6,train
1953,9,train
1954,3,train
1955,9,train
1956,7,test
1957,9,train
1958,3,train
1959,9,test
1960,5,val
1961,4,test
1962,5,train
1963,9,test
1964,3,train
1965,8,test
1966,3,train
1967,8,train
1968,5,train
1969,5,train
1970,1,train
1971,5,train
1972,9,train
1973,3,train
1974,8,val
1975,7,train
1976,1,test
1977,3,train
1978,5,val
1979,1,val
1980,0,train
1981,7,train
1982,5,val
1983,7,val
1984,1,val
1985,2,train
1986,5,train
1987,2,val
1988,1,test
1989,6,train
1990,6,val
1991,7,train
1992,2,val
1993,6,val
1994,7,val
1995,1,test
1996,5,train
1997,4,test
1998,7,train
1999,1,train
2000,9,test
2001,1,train
2002,2,train
2003,9,train
2004,9,val
2005,2,test
2006,8,train
2007,3,train
2008,2,train
2009,7,test
2010,0,val
2011,1,train
2012,9,val
2013,2,train
2014,3,val
2015,8,train
2016,6,train
2017,2,val
2018,1,train
2019,3,train
2020,2,train
2021,7,val
2022,2,train
2023,3,train
2024,8,train
2025,2,train
2026,6,val
2027,9,train
2028,7,train
2029,9,train
2030,1,train
2031,7,train
2032,3,train
2033,7,train
2034,3,train
2035,9,test
2036,5,val
2037,2,val
2038,3,train
2039,1,train
2040,7,val
2041,3,train
2042,7,train
2043,2,train
2044,1,val
2045,0,train
2046,5,train
2047,6,train
2048,0,train
2049,3,train
2050,9,train
2051,1,train
2052,1,train
2053,1,train
2054,7,val
2055,8,test
2056,7,train
2057,1,train
2058,2,train
2059,3,train
2060,6,train
2061,3,train
2062,3,train
2063,3,train
2064,5,val
2065,1,train
2066,8,train
2067,0,train
2068,6,train
2069,5,train
2070,1,test
2071,7,val
2072,7,train
2073,2,train
2074,9,train
2075,9,train
2076,2,train
2077,0,train
2078,1,train
2079,0,val
2080,8,train
2081,2,train
2082,2,train
2083,5,train
2084,9,train
2085,7,test
2086,8,train
2087,5,train
2088,5,val
2089,1,train
2090,8,test
2091,7,train
2092,1,val
2093,6,test
2094,2,train
2095,7,train
2096,7,val
2097,9,train
2098,4,train
2099,0,train
2100,1,train
2101,5,train
2102,6,test
2103,2,train
2104,3,test
2105,8,train
2106,2,train
2107,3,test
2108,7,val
2109,3,train
2110,4,train
2111,3,train
2112,3,train
2113,6,train
2114,0,train
2115,1,val
2116,7,val
2117,6,train
2118,7,train
2119,2,train
2120,6,train
2121,1,train
2122,8,val
2123,2,test
2124,3,test
2125,5,train
2126,1,val
2127,5,test
2128,0,val
2129,1,train
2130,1,train
2131,5,train
2132,7,train
2133,8,val
2134,8,train
2135,9,train
2136,2,test
2137,3,train
2138,5,train
2139,6,test
2140,5,val
